time,index,energy
450.000000, 2, 320189.224923240
451.000000, 2, 320080.919515447
452.000000, 2, 319973.438154455
453.000000, 2, 319862.143991980
454.000000, 2, 319754.395346153
455.000000, 2, 319644.287443498
456.000000, 2, 319536.844274599
457.000000, 2, 319425.243674579
458.000000, 2, 319316.441897000
459.000000, 2, 319210.076764838
460.000000, 2, 319101.173179048
461.000000, 2, 318995.169336343
462.000000, 2, 318887.402924372
463.000000, 2, 318779.804603731
464.000000, 2, 318673.224109531
465.000000, 2, 318567.592208916
466.000000, 2, 318461.241108880
467.000000, 2, 318354.947161942
468.000000, 2, 318247.589015601
469.000000, 2, 318141.539811712
470.000000, 2, 318036.356963787
471.000000, 2, 317930.159947862
472.000000, 2, 317825.297779715
473.000000, 2, 317719.847240128
474.000000, 2, 317614.781610870
475.000000, 2, 317510.570908479
476.000000, 2, 317405.554596438
477.000000, 2, 317301.483618648
478.000000, 2, 317196.705998212
479.000000, 2, 317091.622128548
480.000000, 2, 316986.077610165
481.000000, 2, 316881.544890046
482.000000, 2, 316777.250732185
483.000000, 2, 316674.641454281
484.000000, 2, 316569.226337400
485.000000, 2, 316466.112839396
486.000000, 2, 316361.517632209
487.000000, 2, 316257.078385070
488.000000, 2, 316151.475959940
489.000000, 2, 316047.869594111
490.000000, 2, 315943.427398501
491.000000, 2, 315840.500178389
492.000000, 2, 315737.876001523
493.000000, 2, 315635.241164719
494.000000, 2, 315534.126782043
495.000000, 2, 315429.909360601
496.000000, 2, 315326.363267588
497.000000, 2, 315223.207768869
498.000000, 2, 315120.580738591
499.000000, 2, 315016.771694646
500.000000, 2, 314928.029018433
501.000000, 2, 424013.183751693
502.000000, 2, 396871.685249406
503.000000, 2, 396729.045044185
504.000000, 2, 396697.571258860
505.000000, 2, 396674.477856615
506.000000, 2, 396652.285575916
507.000000, 2, 396549.950015801
508.000000, 2, 396386.498330221
509.000000, 2, 396199.661347295
510.000000, 2, 395889.360706101
511.000000, 2, 395528.772000433
512.000000, 2, 395293.089240894
513.000000, 2, 394878.518894579
514.000000, 2, 394421.527283189
515.000000, 2, 393898.132246722
516.000000, 2, 393082.855545936
517.000000, 2, 392196.726397906
518.000000, 2, 391435.769625722
519.000000, 2, 390580.985769609
520.000000, 2, 389567.971449544
521.000000, 2, 389012.552938539
522.000000, 2, 387868.972582368
523.000000, 2, 386978.691047283
524.000000, 2, 386151.363945866
525.000000, 2, 385265.342099286
526.000000, 2, 384303.866563832
527.000000, 2, 383553.833248633
528.000000, 2, 382791.233771155
529.000000, 2, 381801.075264239
530.000000, 2, 381101.435230023
531.000000, 2, 380325.635293661
532.000000, 2, 379477.422691698
533.000000, 2, 378779.472655340
534.000000, 2, 378062.124114443
535.000000, 2, 377343.507666406
536.000000, 2, 376655.381458533
537.000000, 2, 375882.631800121
538.000000, 2, 375139.296859492
539.000000, 2, 374400.019040416
540.000000, 2, 373714.625564692
541.000000, 2, 373008.814075915
