time,index,energy
8848.000000, 3, 155116.570410448
8849.000000, 3, 154830.609459469
8850.000000, 3, 154547.820946968
8851.000000, 3, 154272.043942124
8852.000000, 3, 153989.612472581
8853.000000, 3, 153716.119677928
8854.000000, 3, 153434.323944480
8855.000000, 3, 153162.165803486
8856.000000, 3, 152884.329146379
8857.000000, 3, 152613.630889250
8858.000000, 3, 152338.046159872
8859.000000, 3, 152069.993243583
8860.000000, 3, 151801.580297958
8861.000000, 3, 151533.145516595
8862.000000, 3, 151257.049924649
8863.000000, 3, 150988.033545264
8864.000000, 3, 150730.937654370
8865.000000, 3, 150465.176324113
8866.000000, 3, 150205.878485453
8867.000000, 3, 149944.701234340
8868.000000, 3, 149688.757752153
8869.000000, 3, 149438.375258496
8870.000000, 3, 149180.463430834
8871.000000, 3, 148928.676244677
8872.000000, 3, 148679.325489660
8873.000000, 3, 148425.533008710
8874.000000, 3, 148174.535899448
8875.000000, 3, 147923.991123802
8876.000000, 3, 147680.629317779
8877.000000, 3, 147428.517179102
8878.000000, 3, 147177.297614566
8879.000000, 3, 146923.980256875
8880.000000, 3, 146676.754275089
8881.000000, 3, 146434.493219176
8882.000000, 3, 146194.067498642
8883.000000, 3, 145956.855563774
8884.000000, 3, 145723.267500369
8885.000000, 3, 145482.028385838
8886.000000, 3, 145239.702558319
8887.000000, 3, 145008.237956015
8888.000000, 3, 144776.321379812
8889.000000, 3, 144539.447134382
8890.000000, 3, 144301.548855723
8891.000000, 3, 144065.645058198
8892.000000, 3, 143836.930353582
8893.000000, 3, 143611.722859343
8894.000000, 3, 143386.729207233
8895.000000, 3, 143162.121960888
8896.000000, 3, 142932.802534024
8897.000000, 3, 142713.246695262
8898.000000, 3, 142488.845553296
8899.000000, 3, 142266.010158787
8900.000000, 3, 142046.871574222
8901.000000, 3, 141829.557446695
8902.000000, 3, 141609.464305470
8903.000000, 3, 141393.273339315
8904.000000, 3, 141174.735018795
8905.000000, 3, 140961.903593928
8906.000000, 3, 140748.973478010
8907.000000, 3, 140529.550943952
8908.000000, 3, 140315.960485058
8909.000000, 3, 140099.949907818
8910.000000, 3, 139887.724740760
8911.000000, 3, 139679.955937904
8912.000000, 3, 139469.555335216
8913.000000, 3, 139266.829407176
8914.000000, 3, 139064.201452007
8915.000000, 3, 138859.389571873
8916.000000, 3, 138657.156588018
8917.000000, 3, 138457.504455837
8918.000000, 3, 138256.909114920
8919.000000, 3, 138055.224713261
8920.000000, 3, 137855.874390548
8921.000000, 3, 137643.751305659
8922.000000, 3, 137448.167471933
8923.000000, 3, 137253.258505132
8924.000000, 3, 137053.695174301
8925.000000, 3, 136858.662759524
8926.000000, 3, 136663.303942731
8927.000000, 3, 136468.876368785
8928.000000, 3, 136277.212146983
8929.000000, 3, 136088.857680054
8930.000000, 3, 135896.427514563
8931.000000, 3, 135703.681022732
8932.000000, 3, 135518.480590563
8933.000000, 3, 135327.318380999
8934.000000, 3, 135143.818599895
8935.000000, 3, 134952.438775302
8936.000000, 3, 134764.385381179
8937.000000, 3, 134577.423650799
8938.000000, 3, 134393.398805405
8939.000000, 3, 134208.879536254
8940.000000, 3, 134028.120783928
8941.000000, 3, 133851.237005599
8942.000000, 3, 133676.943094550
8943.000000, 3, 133496.574246541
8944.000000, 3, 133322.646369637
8945.000000, 3, 133144.743396559
8946.000000, 3, 132957.470067976
8947.000000, 3, 132779.674942053
8948.000000, 3, 132606.758333353
8949.000000, 3, 132432.248445724
8950.000000, 3, 132263.894561329
8951.000000, 3, 132093.051927738
8952.000000, 3, 131919.939922047
8953.000000, 3, 131749.392841663
8954.000000, 3, 131580.510695694
8955.000000, 3, 131414.932398404
8956.000000, 3, 131243.980887034
8957.000000, 3, 131074.738753570
8958.000000, 3, 130902.597913608
8959.000000, 3, 130735.596350704
8960.000000, 3, 130575.852763212
8961.000000, 3, 130409.962196856
8962.000000, 3, 130249.118745238
8963.000000, 3, 130087.280003388
8964.000000, 3, 129922.893082944
8965.000000, 3, 129766.400155186
8966.000000, 3, 129601.639762981
8967.000000, 3, 129443.705425105
8968.000000, 3, 129285.416775907
8969.000000, 3, 129124.748757757
8970.000000, 3, 128969.213512240
8971.000000, 3, 128818.373580255
8972.000000, 3, 128659.010641610
8973.000000, 3, 128499.800374020
8974.000000, 3, 128344.926102713
8975.000000, 3, 128191.064443888
8976.000000, 3, 128034.729824326
8977.000000, 3, 127883.534189816
8978.000000, 3, 127730.270664896
8979.000000, 3, 127579.796386646
8980.000000, 3, 127433.047070654
8981.000000, 3, 127281.601174877
8982.000000, 3, 127133.427618739
8983.000000, 3, 126977.776028459
8984.000000, 3, 126828.204617756
8985.000000, 3, 126685.462419822
8986.000000, 3, 126541.100355087
8987.000000, 3, 126395.829603316
8988.000000, 3, 126253.366295807
8989.000000, 3, 126107.496156934
8990.000000, 3, 125968.383231831
8991.000000, 3, 125829.520129263
8992.000000, 3, 125684.849515182
8993.000000, 3, 125539.194901745
8994.000000, 3, 125399.726074612
8995.000000, 3, 125261.582105272
8996.000000, 3, 125124.154633703
8997.000000, 3, 124981.143848343
8998.000000, 3, 124845.688074457
8999.000000, 3, 124706.614700687
9000.000000, 3, 124566.794905207
9001.000000, 3, 536671.642851032
9002.000000, 3, 418943.533499311
9003.000000, 3, 418835.039337281
9004.000000, 3, 418682.855760455
9005.000000, 3, 418562.459094385
9006.000000, 3, 418239.381322506
9007.000000, 3, 417688.976423679
9008.000000, 3, 415596.120446839
9009.000000, 3, 414705.427520683
9010.000000, 3, 413414.531583195
9011.000000, 3, 411227.045495149
9012.000000, 3, 409505.542843845
9013.000000, 3, 407480.819576130
9014.000000, 3, 405563.254952200
9015.000000, 3, 404314.539911068
9016.000000, 3, 402331.860641833
9017.000000, 3, 400777.858429940
9018.000000, 3, 398897.782335024
9019.000000, 3, 397667.989182630
9020.000000, 3, 396395.333437831
9021.000000, 3, 395127.314184993
9022.000000, 3, 393926.958439245
9023.000000, 3, 392718.092959292
9024.000000, 3, 391391.606686616
9025.000000, 3, 390194.461637181
9026.000000, 3, 389020.830010883
9027.000000, 3, 387677.075527662
9028.000000, 3, 386546.205985039
9029.000000, 3, 385310.263618839
9030.000000, 3, 383955.978046753
9031.000000, 3, 382659.402349603
9032.000000, 3, 381340.274229734
9033.000000, 3, 380133.521176658
9034.000000, 3, 378865.556022883
9035.000000, 3, 377589.467699892
9036.000000, 3, 376387.902720045
9037.000000, 3, 375235.596204145
9038.000000, 3, 374046.181032165
9039.000000, 3, 372925.421954925
9040.000000, 3, 371802.491114473
9041.000000, 3, 370673.836697197
9042.000000, 3, 369555.210169636
9043.000000, 3, 368456.207458761
9044.000000, 3, 367331.774891599
9045.000000, 3, 366133.803587991
9046.000000, 3, 364929.588369654
9047.000000, 3, 363783.481423549
9048.000000, 3, 362664.872016754
9049.000000, 3, 361534.961280236
9050.000000, 3, 360437.736364640
9051.000000, 3, 359389.985328990
9052.000000, 3, 358305.559623403
9053.000000, 3, 357246.968899043
9054.000000, 3, 356201.363238599
9055.000000, 3, 355127.297433350
9056.000000, 3, 354091.272324441
9057.000000, 3, 353024.786522093
9058.000000, 3, 351962.271541926
9059.000000, 3, 350906.279219525
9060.000000, 3, 349833.887001705
9061.000000, 3, 348793.958950373
9062.000000, 3, 347766.796682737
9063.000000, 3, 346731.368911491
9064.000000, 3, 345695.172744126
9065.000000, 3, 344656.699535424
9066.000000, 3, 343678.766151706
9067.000000, 3, 342640.482762998
9068.000000, 3, 341660.101413564
9069.000000, 3, 340691.961374778
9070.000000, 3, 339706.299794058
9071.000000, 3, 338685.566142084
9072.000000, 3, 337684.880418368
9073.000000, 3, 336513.567525088
9074.000000, 3, 335528.044383259
9075.000000, 3, 334551.010197405
9076.000000, 3, 333550.406085101
9077.000000, 3, 332562.805558397
9078.000000, 3, 331593.187186032
9079.000000, 3, 330562.102432329
9080.000000, 3, 329580.696596196
9081.000000, 3, 328588.192988044
9082.000000, 3, 327634.169201481
9083.000000, 3, 326589.936616600
9084.000000, 3, 325642.820284149
9085.000000, 3, 324669.530509848
9086.000000, 3, 323702.530518494
9087.000000, 3, 322767.451929160
9088.000000, 3, 321794.319681021
9089.000000, 3, 320860.778807915
9090.000000, 3, 319940.972584034
9091.000000, 3, 319000.309259129
9092.000000, 3, 318060.020776557
9093.000000, 3, 317102.025964336
9094.000000, 3, 316190.860823728
9095.000000, 3, 315303.128530316
9096.000000, 3, 314418.618384793
9097.000000, 3, 313529.224077825
9098.000000, 3, 312628.709928736
9099.000000, 3, 311744.264938203
9100.000000, 3, 310821.252623642
9101.000000, 3, 309856.424834369
9102.000000, 3, 308998.699821017
9103.000000, 3, 308069.880564775
9104.000000, 3, 307175.829975198
9105.000000, 3, 306242.258174249
9106.000000, 3, 305376.131311398
9107.000000, 3, 304515.427137450
9108.000000, 3, 303534.583469824
9109.000000, 3, 302679.995875966
9110.000000, 3, 301831.846173544
9111.000000, 3, 300956.145560701
9112.000000, 3, 300085.911242906
9113.000000, 3, 299248.482839422
9114.000000, 3, 298386.184018505
9115.000000, 3, 297534.970416538
9116.000000, 3, 296729.865623476
9117.000000, 3, 295870.493830284
9118.000000, 3, 295036.933076906
9119.000000, 3, 294211.888701591
9120.000000, 3, 293406.409368158
9121.000000, 3, 292617.743334106
9122.000000, 3, 291788.727157220
9123.000000, 3, 290925.816074169
9124.000000, 3, 290126.238967015
9125.000000, 3, 289321.347079940
9126.000000, 3, 288515.290481069
9127.000000, 3, 287739.947837618
9128.000000, 3, 286944.388949928
9129.000000, 3, 286172.423605656
